C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
1   	05 38 01.11867 +07 32 29.1007	 5.797	 5.858
2   	21 44 00.96520 -14 44 57.7348	 6.165	 5.961
3   	13 06 54.25714 -35 51 43.3093	 5.673	 5.626
4   	10 07 25.76296 +35 14 40.8965	 4.67 	 4.49 
5   	11 34 42.49024 +16 47 48.8956	 5.780	 5.940
6   	10 02 36.0 -60 07 12         	 4.47 	 4.2  
7   	07 46 53.970 +39 01 06.25    	 0.120	 0.143
8   	09 04 09.27988 -47 05 51.8547	 4.95 	 3.75 
9   	07 25 51.20075 -05 46 29.8552	 6.888	 5.979
10  	11 13 30.78320 -59 37 09.5454	 5.64 	 5.74 
11  	17 24 06.58696 +22 57 37.0134	 5.930	 5.720
12  	00 32 35.48545 +20 17 39.5352	 6.448	 5.374
13  	12 55 57.13434 -56 50 08.9002	 5.33 	 5.32 
14  	10 59 59.37804 -43 48 25.5989	 5.736	 5.800
15  	00 45 39.07723 +74 59 17.0610	 5.720	 5.653
16  	13 06 16.70411 -48 27 47.8460	 4.564	 4.694
17  	12 30 06.65998 +69 12 04.0596	 6.57 	 4.95 
18  	10 56 43.05206 -37 08 15.9552	 5.63 	 4.60 
19  	20 06 53.40787 +23 36 51.9294	 4.904	 5.064
20  	07 16 36.83423 -23 18 56.1398	 6.50 	 4.79 
21  	17 01 03.60266 -04 13 21.5183	 6.340	 4.827
22  	02 08 40.57920 +58 25 24.9638	 6.29 	 5.68 
23  	11 26 47.26549 -53 09 35.6983	 6.280	 5.810
24  	09 47 06.12170 -65 04 19.2267	 3.24 	 2.96 
25  	22 20 27.57641 +05 47 22.1967	 5.340	 5.370
26  	00 52 40.62485 -24 00 21.0421	 6.70 	 5.46 
27  	22 24 56.38978 -57 47 50.6985	 5.96 	 5.31 
28  	01 26 41.67834 +19 14 25.5264	 6.612	 5.505
29  	08 09 01.63741 -19 14 42.0521	 4.247	 4.390
30  	15 35 08.439 -41 10 00.45    	 3.25 	 3.45 
31  	13 22 37.93612 -60 59 18.2178	 4.380	 4.505
32  	08 39 07.90110 -22 39 42.8110	 5.78 	 5.05 
33  	00 05 06.14993 +61 18 50.2931	 5.723	 5.790
34  	04 59 15.410 +37 53 24.87    	 5.01 	 5.00 
35  	13 47 32.43776 +49 18 47.7602	 1.67 	 1.86 
36  	09 25 27.23396 -61 57 01.7245	 5.921	 5.781
37  	02 21 44.94286 -68 39 33.9038	 4.12 	 4.09 
38  	19 39 22.60591 +30 09 11.9604	 5.648	 4.685
39  	23 46 00.92254 -18 40 42.0313	 5.57 	 5.27 
40  	01 16 36.28863 -02 30 01.3217	 6.298	 5.432
41  	13 36 59.08289 +24 36 47.8734	 7.28 	 5.69 
42  	11 19 16.43348 -64 34 56.9612	 6.45 	 5.99 
43  	17 22 05.87559 -70 07 23.5400	 5.37 	 5.41 
44  	01 58 46.19467 -61 34 11.4948	 3.13 	 2.84 
